# Hyperlattice Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| ---: | ---: | --- | --- | --- |
| 1 | 10.419 us | `cargo-fuzz` | `matrix_ops` | `seed[39]` |
| 2 | 9.540 us | `cargo-fuzz` | `matrix_ops` | `seed[40]` |
| 3 | 9.029 us | `cargo-fuzz` | `matrix_ops` | `seed[3035]` |
| 4 | 8.809 us | `cargo-fuzz` | `matrix_ops` | `seed[2489]` |
| 5 | 8.799 us | `cargo-fuzz` | `matrix_ops` | `seed[2374]` |
| 6 | 8.789 us | `cargo-fuzz` | `matrix_ops` | `seed[2953]` |
| 7 | 8.780 us | `cargo-fuzz` | `matrix_ops` | `seed[2430]` |
| 8 | 8.770 us | `cargo-fuzz` | `matrix_ops` | `seed[2196]` |
| 9 | 8.769 us | `cargo-fuzz` | `matrix_ops` | `seed[3141]` |
| 10 | 8.759 us | `cargo-fuzz` | `matrix_ops` | `seed[3617]` |
| 11 | 8.750 us | `cargo-fuzz` | `matrix_ops` | `seed[1014]` |
| 12 | 8.750 us | `cargo-fuzz` | `matrix_ops` | `seed[3225]` |
| 13 | 8.740 us | `cargo-fuzz` | `matrix_ops` | `seed[2422]` |
| 14 | 8.739 us | `cargo-fuzz` | `matrix_ops` | `seed[1022]` |
| 15 | 8.730 us | `cargo-fuzz` | `matrix_ops` | `seed[2185]` |
| 16 | 8.730 us | `cargo-fuzz` | `matrix_ops` | `seed[3214]` |
| 17 | 8.719 us | `cargo-fuzz` | `matrix_ops` | `seed[3813]` |
| 18 | 8.710 us | `cargo-fuzz` | `matrix_ops` | `seed[41]` |
| 19 | 8.709 us | `cargo-fuzz` | `matrix_ops` | `seed[1027]` |
| 20 | 8.700 us | `cargo-fuzz` | `matrix_ops` | `seed[2234]` |
| 21 | 8.699 us | `cargo-fuzz` | `matrix_ops` | `seed[2907]` |
| 22 | 8.689 us | `cargo-fuzz` | `matrix_ops` | `seed[1016]` |
| 23 | 8.689 us | `cargo-fuzz` | `matrix_ops` | `seed[2960]` |
| 24 | 8.660 us | `cargo-fuzz` | `matrix_ops` | `seed[3194]` |
| 25 | 8.660 us | `cargo-fuzz` | `matrix_ops` | `seed[3203]` |
| 26 | 8.650 us | `cargo-fuzz` | `matrix_ops` | `seed[2955]` |
| 27 | 8.650 us | `cargo-fuzz` | `matrix_ops` | `seed[3887]` |
| 28 | 8.639 us | `cargo-fuzz` | `matrix_ops` | `seed[1028]` |
| 29 | 8.619 us | `cargo-fuzz` | `matrix_ops` | `seed[2324]` |
| 30 | 8.600 us | `cargo-fuzz` | `matrix_ops` | `seed[1003]` |
| 31 | 8.589 us | `cargo-fuzz` | `matrix_ops` | `seed[3745]` |
| 32 | 8.580 us | `cargo-fuzz` | `matrix_ops` | `seed[2277]` |
| 33 | 8.570 us | `cargo-fuzz` | `matrix_ops` | `seed[3614]` |
| 34 | 8.560 us | `cargo-fuzz` | `matrix_ops` | `seed[2323]` |
| 35 | 8.560 us | `cargo-fuzz` | `matrix_ops` | `seed[3199]` |
| 36 | 8.539 us | `cargo-fuzz` | `matrix_ops` | `seed[2881]` |
| 37 | 8.530 us | `cargo-fuzz` | `matrix_ops` | `seed[1024]` |
| 38 | 8.520 us | `cargo-fuzz` | `matrix_ops` | `seed[2329]` |
| 39 | 8.520 us | `cargo-fuzz` | `matrix_ops` | `seed[2419]` |
| 40 | 8.510 us | `cargo-fuzz` | `matrix_ops` | `seed[3033]` |
| 41 | 8.509 us | `cargo-fuzz` | `matrix_ops` | `seed[2956]` |
| 42 | 8.500 us | `cargo-fuzz` | `matrix_ops` | `seed[2247]` |
| 43 | 8.499 us | `cargo-fuzz` | `matrix_ops` | `seed[804]` |
| 44 | 8.499 us | `cargo-fuzz` | `matrix_ops` | `seed[3087]` |
| 45 | 8.490 us | `cargo-fuzz` | `matrix_ops` | `seed[3774]` |
| 46 | 8.489 us | `cargo-fuzz` | `matrix_ops` | `seed[2225]` |
| 47 | 8.489 us | `cargo-fuzz` | `matrix_ops` | `seed[2328]` |
| 48 | 8.489 us | `cargo-fuzz` | `matrix_ops` | `seed[2958]` |
| 49 | 8.489 us | `cargo-fuzz` | `matrix_ops` | `seed[2972]` |
| 50 | 8.479 us | `cargo-fuzz` | `matrix_ops` | `seed[2283]` |
| 51 | 8.469 us | `cargo-fuzz` | `matrix_ops` | `seed[2335]` |
| 52 | 8.469 us | `cargo-fuzz` | `matrix_ops` | `seed[3039]` |
| 53 | 8.459 us | `cargo-fuzz` | `matrix_ops` | `seed[2186]` |
| 54 | 8.450 us | `cargo-fuzz` | `matrix_ops` | `seed[3894]` |
| 55 | 8.449 us | `cargo-fuzz` | `matrix_ops` | `seed[1020]` |
| 56 | 8.449 us | `cargo-fuzz` | `matrix_ops` | `seed[2346]` |
| 57 | 8.449 us | `cargo-fuzz` | `matrix_ops` | `seed[2369]` |
| 58 | 8.439 us | `cargo-fuzz` | `matrix_ops` | `seed[3048]` |
| 59 | 8.439 us | `cargo-fuzz` | `matrix_ops` | `seed[3787]` |
| 60 | 8.439 us | `cargo-fuzz` | `matrix_ops` | `seed[3814]` |
| 61 | 8.430 us | `cargo-fuzz` | `matrix_ops` | `seed[3889]` |
| 62 | 8.429 us | `cargo-fuzz` | `matrix_ops` | `seed[3227]` |
| 63 | 8.429 us | `cargo-fuzz` | `matrix_ops` | `seed[3908]` |
| 64 | 8.420 us | `cargo-fuzz` | `matrix_ops` | `seed[3607]` |
| 65 | 8.420 us | `cargo-fuzz` | `matrix_ops` | `seed[3874]` |
| 66 | 8.419 us | `cargo-fuzz` | `matrix_ops` | `seed[2289]` |
| 67 | 8.419 us | `cargo-fuzz` | `matrix_ops` | `seed[2310]` |
| 68 | 8.419 us | `cargo-fuzz` | `matrix_ops` | `seed[2381]` |
| 69 | 8.419 us | `cargo-fuzz` | `matrix_ops` | `seed[3219]` |
| 70 | 8.419 us | `cargo-fuzz` | `matrix_ops` | `seed[3799]` |
| 71 | 8.409 us | `cargo-fuzz` | `matrix_ops` | `seed[1001]` |
| 72 | 8.409 us | `cargo-fuzz` | `matrix_ops` | `seed[3566]` |
| 73 | 8.400 us | `cargo-fuzz` | `matrix_ops` | `seed[3779]` |
| 74 | 8.399 us | `cargo-fuzz` | `matrix_ops` | `seed[1006]` |
| 75 | 8.399 us | `cargo-fuzz` | `matrix_ops` | `seed[3234]` |
| 76 | 8.399 us | `cargo-fuzz` | `matrix_ops` | `seed[3919]` |
| 77 | 8.390 us | `cargo-fuzz` | `matrix_ops` | `seed[2492]` |
| 78 | 8.389 us | `cargo-fuzz` | `matrix_ops` | `seed[1002]` |
| 79 | 8.389 us | `cargo-fuzz` | `matrix_ops` | `seed[2962]` |
| 80 | 8.389 us | `cargo-fuzz` | `matrix_ops` | `seed[3095]` |
| 81 | 8.389 us | `cargo-fuzz` | `matrix_ops` | `seed[3883]` |
| 82 | 8.380 us | `cargo-fuzz` | `matrix_ops` | `seed[2258]` |
| 83 | 8.380 us | `cargo-fuzz` | `matrix_ops` | `seed[2974]` |
| 84 | 8.380 us | `cargo-fuzz` | `matrix_ops` | `seed[3641]` |
| 85 | 8.379 us | `cargo-fuzz` | `matrix_ops` | `seed[2959]` |
| 86 | 8.379 us | `cargo-fuzz` | `matrix_ops` | `seed[3017]` |
| 87 | 8.379 us | `cargo-fuzz` | `matrix_ops` | `seed[3038]` |
| 88 | 8.379 us | `cargo-fuzz` | `matrix_ops` | `seed[3100]` |
| 89 | 8.379 us | `cargo-fuzz` | `matrix_ops` | `seed[3717]` |
| 90 | 8.370 us | `cargo-fuzz` | `matrix_ops` | `seed[2321]` |
| 91 | 8.370 us | `cargo-fuzz` | `matrix_ops` | `seed[3639]` |
| 92 | 8.370 us | `cargo-fuzz` | `matrix_ops` | `seed[3754]` |
| 93 | 8.370 us | `cargo-fuzz` | `matrix_ops` | `seed[3881]` |
| 94 | 8.360 us | `cargo-fuzz` | `matrix_ops` | `seed[1749]` |
| 95 | 8.360 us | `cargo-fuzz` | `matrix_ops` | `seed[2946]` |
| 96 | 8.359 us | `cargo-fuzz` | `matrix_ops` | `seed[2921]` |
| 97 | 8.359 us | `cargo-fuzz` | `matrix_ops` | `seed[2994]` |
| 98 | 8.359 us | `cargo-fuzz` | `matrix_ops` | `seed[3011]` |
| 99 | 8.359 us | `cargo-fuzz` | `matrix_ops` | `seed[3740]` |
| 100 | 8.350 us | `cargo-fuzz` | `matrix_ops` | `seed[2293]` |
| 101 | 8.340 us | `cargo-fuzz` | `matrix_ops` | `seed[2418]` |
| 102 | 8.340 us | `cargo-fuzz` | `matrix_ops` | `seed[3742]` |
| 103 | 8.339 us | `cargo-fuzz` | `matrix_ops` | `seed[2287]` |
| 104 | 8.339 us | `cargo-fuzz` | `matrix_ops` | `seed[2454]` |
| 105 | 8.339 us | `cargo-fuzz` | `matrix_ops` | `seed[3687]` |
| 106 | 8.330 us | `cargo-fuzz` | `matrix_ops` | `seed[1012]` |
| 107 | 8.330 us | `cargo-fuzz` | `matrix_ops` | `seed[2913]` |
| 108 | 8.329 us | `cargo-fuzz` | `matrix_ops` | `seed[279]` |
| 109 | 8.320 us | `cargo-fuzz` | `matrix_ops` | `seed[2332]` |
| 110 | 8.320 us | `cargo-fuzz` | `matrix_ops` | `seed[2521]` |
| 111 | 8.320 us | `cargo-fuzz` | `matrix_ops` | `seed[3381]` |
| 112 | 8.320 us | `cargo-fuzz` | `matrix_ops` | `seed[3867]` |
| 113 | 8.310 us | `cargo-fuzz` | `matrix_ops` | `seed[3213]` |
| 114 | 8.310 us | `cargo-fuzz` | `matrix_ops` | `seed[3594]` |
| 115 | 8.310 us | `cargo-fuzz` | `matrix_ops` | `seed[3812]` |
| 116 | 8.309 us | `cargo-fuzz` | `matrix_ops` | `seed[2273]` |
| 117 | 8.309 us | `cargo-fuzz` | `matrix_ops` | `seed[2325]` |
| 118 | 8.309 us | `cargo-fuzz` | `matrix_ops` | `seed[3089]` |
| 119 | 8.309 us | `cargo-fuzz` | `matrix_ops` | `seed[3217]` |
| 120 | 8.300 us | `cargo-fuzz` | `matrix_ops` | `seed[1005]` |
| 121 | 8.300 us | `cargo-fuzz` | `matrix_ops` | `seed[2531]` |
| 122 | 8.299 us | `cargo-fuzz` | `matrix_ops` | `seed[1019]` |
| 123 | 8.299 us | `cargo-fuzz` | `matrix_ops` | `seed[2395]` |
| 124 | 8.299 us | `cargo-fuzz` | `matrix_ops` | `seed[3615]` |
| 125 | 8.299 us | `cargo-fuzz` | `matrix_ops` | `seed[3628]` |
| 126 | 8.290 us | `cargo-fuzz` | `matrix_ops` | `seed[2929]` |
| 127 | 8.290 us | `cargo-fuzz` | `matrix_ops` | `seed[2992]` |
| 128 | 8.290 us | `cargo-fuzz` | `matrix_ops` | `seed[3125]` |
| 129 | 8.290 us | `cargo-fuzz` | `matrix_ops` | `seed[3829]` |
| 130 | 8.289 us | `cargo-fuzz` | `matrix_ops` | `seed[3009]` |
| 131 | 8.289 us | `cargo-fuzz` | `matrix_ops` | `seed[3144]` |
| 132 | 8.280 us | `cargo-fuzz` | `matrix_ops` | `seed[2252]` |
| 133 | 8.280 us | `cargo-fuzz` | `matrix_ops` | `seed[3129]` |
| 134 | 8.280 us | `cargo-fuzz` | `matrix_ops` | `seed[3192]` |
| 135 | 8.280 us | `cargo-fuzz` | `matrix_ops` | `seed[3256]` |
| 136 | 8.280 us | `cargo-fuzz` | `matrix_ops` | `seed[3634]` |
| 137 | 8.280 us | `cargo-fuzz` | `matrix_ops` | `seed[3804]` |
| 138 | 8.270 us | `cargo-fuzz` | `matrix_ops` | `seed[3616]` |
| 139 | 8.269 us | `cargo-fuzz` | `matrix_ops` | `seed[2217]` |
| 140 | 8.269 us | `cargo-fuzz` | `matrix_ops` | `seed[2244]` |
| 141 | 8.269 us | `cargo-fuzz` | `matrix_ops` | `seed[3091]` |
| 142 | 8.269 us | `cargo-fuzz` | `matrix_ops` | `seed[3655]` |
| 143 | 8.260 us | `cargo-fuzz` | `matrix_ops` | `seed[2313]` |
| 144 | 8.260 us | `cargo-fuzz` | `matrix_ops` | `seed[3597]` |
| 145 | 8.259 us | `cargo-fuzz` | `matrix_ops` | `seed[2431]` |
| 146 | 8.259 us | `cargo-fuzz` | `matrix_ops` | `seed[3184]` |
| 147 | 8.259 us | `cargo-fuzz` | `matrix_ops` | `seed[3232]` |
| 148 | 8.259 us | `cargo-fuzz` | `matrix_ops` | `seed[3613]` |
| 149 | 8.250 us | `cargo-fuzz` | `matrix_ops` | `seed[2326]` |
| 150 | 8.250 us | `cargo-fuzz` | `matrix_ops` | `seed[3136]` |
| 151 | 8.250 us | `cargo-fuzz` | `matrix_ops` | `seed[3189]` |
| 152 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[2284]` |
| 153 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[2906]` |
| 154 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[3037]` |
| 155 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[3104]` |
| 156 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[3621]` |
| 157 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[3879]` |
| 158 | 8.249 us | `cargo-fuzz` | `matrix_ops` | `seed[3905]` |
| 159 | 8.240 us | `cargo-fuzz` | `matrix_ops` | `seed[2278]` |
| 160 | 8.240 us | `cargo-fuzz` | `matrix_ops` | `seed[2417]` |
| 161 | 8.240 us | `cargo-fuzz` | `matrix_ops` | `seed[3006]` |
| 162 | 8.240 us | `cargo-fuzz` | `matrix_ops` | `seed[3692]` |
| 163 | 8.239 us | `cargo-fuzz` | `matrix_ops` | `seed[2189]` |
| 164 | 8.239 us | `cargo-fuzz` | `matrix_ops` | `seed[3207]` |
| 165 | 8.239 us | `cargo-fuzz` | `matrix_ops` | `seed[3810]` |
| 166 | 8.239 us | `cargo-fuzz` | `matrix_ops` | `seed[3899]` |
| 167 | 8.230 us | `cargo-fuzz` | `matrix_ops` | `seed[3612]` |
| 168 | 8.229 us | `cargo-fuzz` | `matrix_ops` | `seed[1013]` |
| 169 | 8.229 us | `cargo-fuzz` | `matrix_ops` | `seed[2359]` |
| 170 | 8.229 us | `cargo-fuzz` | `matrix_ops` | `seed[3693]` |
| 171 | 8.220 us | `cargo-fuzz` | `matrix_ops` | `seed[3044]` |
| 172 | 8.220 us | `cargo-fuzz` | `matrix_ops` | `seed[3708]` |
| 173 | 8.220 us | `cargo-fuzz` | `matrix_ops` | `seed[3865]` |
| 174 | 8.219 us | `cargo-fuzz` | `matrix_ops` | `seed[144]` |
| 175 | 8.219 us | `cargo-fuzz` | `matrix_ops` | `seed[1026]` |
| 176 | 8.219 us | `cargo-fuzz` | `matrix_ops` | `seed[2319]` |
| 177 | 8.219 us | `cargo-fuzz` | `matrix_ops` | `seed[3185]` |
| 178 | 8.219 us | `cargo-fuzz` | `matrix_ops` | `seed[3807]` |
| 179 | 8.210 us | `cargo-fuzz` | `matrix_ops` | `seed[2246]` |
| 180 | 8.210 us | `cargo-fuzz` | `matrix_ops` | `seed[2879]` |
| 181 | 8.209 us | `cargo-fuzz` | `matrix_ops` | `seed[2331]` |
| 182 | 8.209 us | `cargo-fuzz` | `matrix_ops` | `seed[3098]` |
| 183 | 8.200 us | `cargo-fuzz` | `matrix_ops` | `seed[2372]` |
